ma,ten
TNHO,(ngành) SP Hóa học
TTQV,(ngành) Quản trị văn phòng
TDTU,(ngành) Toán ứng dụng
LULU,(ngành) Luật
CTCT,(ngành) Công nghệ thông tin
TD,Khoa Toán - ứng dụng
MOKM,(ngành) Khoa học môi trường
QG,Khoa Giáo dục
LCLC,Giáo dục Chính trị (môn chung)
NNNN,Ngoại ngữ (môn chung)
QPTC,Giáo dục Thể chất
TN,Khoa SP Khoa học Tự nhiên
QDKQ,(ngành) Kinh doanh quốc tế
NT,Khoa Nghệ thuật
TNSI,(ngành) SP Sinh học
QPQP,Giáo dục QP - An ninh
NN,Khoa Ngoại ngữ
GMGM,(ngành) Giáo dục Mầm non
TTTV,(ngành) Thư viện - Thông tin
NTNH,(ngành) SP Âm nhạc
TEKE,(ngành) Kế toán
VD,Khoa Văn hóa và Du lịch
QDQK,(ngành) Quản trị kinh doanh
VDVI,(ngành) Việt Nam học (Văn hóa - Du lịch)
MO,Khoa Môi trường
DVDV,(ngành) Kỹ thuật điện tử - viễn thông
VDQT,(ngành) Quốc tế học
XHSU,(ngành) SP Lịch sử
TE,Khoa Tài chính - Kế toán
GTGT,(ngành) Giáo dục Tiểu học
TETN,(ngành) Tài chính - Ngân hàng
TNLI,(ngành) SP Vật lý
TT_077,(Bộ môn) Khoa học thư viện
NNSA,(ngành) SP Tiếng Anh
XHVA,(ngành) SP Ngữ văn
DV,Khoa Điện tử viễn thông
XH,Khoa SP Khoa học Xã hội
LULK,Luật Kinh doanh (không còn dùng)
TDTO,(ngành) SP Toán học
LCGD,(ngành) Giáo dục Chính trị
TDDU,(ngành) Khoa học dữ liệu
LULH,Luật Hành chinh (không còn dùng)
QGQG,(ngành) Quản lý Giáo dục
XHDI,(ngành) SP Địa lý
VDDL,(ngành) Du lịch
MIMI,(ngành) SP Mỹ thuật
QGTL,(ngành) Tâm lí học
XHXH,(khoa) SP Khoa học Xã hội
TT,Khoa Thư viện - Văn phòng
QD,Khoa Quản trị Kinh doanh
NT_074,(Bộ môn) Sư phạm Âm nhạc
TT_078,(Bộ môn) Quản trị văn phòng
GT,Khoa Giáo dục Tiểu học
QGTG,Tâm lý - Giáo dục (môn chung)
QDHA,(ngành) Quản trị nhà hàng và dịch vụ ăn uống
NTNT,(khoa) Nghệ thuật
NNTA,(ngành) Tiếng Anh (Thương mại và du lịch)
LC,Khoa Giáo dục chính trị
NTNA,(ngành) Thanh nhạc
0303,Phòng Đào tạo
XH_040,(Bộ môn) Địa lý
DVKD,"(ngành) Công nghệ kỹ thuật điện, điện tử"
XHLD,(ngành) SP Lịch sử - Địa lý
VD_087,(Bộ môn) Nghiệp vụ du lịch
TDTU,(ngành) Toán ứng dụng
MO_082,(VP khoa) Khoa Môi trường
VD_086,(Bộ môn) Quan hệ đối ngoại
NTNT,(khoa) Nghệ thuật
TN_027,(Bộ môn) Hóa học nâng cao
DVKT,"(ngành) Công nghệ kỹ thuật điện tử, truyền thông"
QG_124,(VP khoa) Khoa Giáo dục
NTNH,(ngành) SP Âm nhạc
DVCV,(ngành) Công nghệ kỹ thuật điện tử - viễn thông
NNNN,Ngoại ngữ (môn chung)
NNSA,(ngành) SP Tiếng Anh
NT_074,(Bộ môn) Sư phạm Âm nhạc
TTQV,(ngành) Quản trị văn phòng
TDDU,(ngành) Khoa học dữ liệu
DV_054,(VP khoa) Khoa Điện tử viễn thông
MIMI,(ngành) SP Mỹ thuật
TTTT,(ngành) Thông tin - Thư viện
VD_085,(Bộ môn) Văn hóa ứng dụng
MO_080,(Bộ môn) Công nghệ kỹ thuật môi trường
DV_051,(Bộ môn) Điện tử
TD_031,(Bộ môn) Đại số
TN_029,(Bộ môn) Sinh học
QG_067,(Bộ môn) Giáo dục học
XHDI,(ngành) SP Địa lý
XH_041,(Bộ môn) Lịch sử Thế giới và Phương pháp
QGTL,(ngành) Tâm lí học
TT_078,(Bộ môn) Quản trị văn phòng
TNHO,(ngành) SP Hóa học
NNAN,(ngành) Ngôn ngữ Anh (Thương mại và Du lịch)
TT_077,(Bộ môn) Khoa học thư viện
TTTV,(ngành) Thư viện - Thông tin
NN_071,(Bộ môn) Tiếng Anh không chuyên
GT_057,(Bộ môn) Tự nhiên - Xã hội và Phương pháp dạy học Tự nhiên - Xã hội
LC_065,(VP khoa) Khoa Giáo dục Chính trị
QDHA,(ngành) Quản trị nhà hàng và dịch vụ ăn uống
MOCM,(ngành) Công nghệ kỹ thuật môi trường
NTNA,(ngành) Thanh nhạc
TD_032,(Bộ môn) Giải tích
TE_089,(Bộ môn) Kế toán
TN_126,(Bộ môn) Khoa học tự nhiên
NT_076,(Bộ môn) Sư phạm Mỹ thuật
XH_040,(Bộ môn) Địa lý
TDTO,(ngành) SP Toán học
QG_068,(Bộ môn) Tâm lý học
NNTA,(ngành) Tiếng Anh (Thương mại và du lịch)
GT_058,(VP khoa) Khoa Giáo dục Tiểu học
TD_034,(Bộ môn) Toán - Tin ứng dụng
XH_039,(Bộ môn) Ngôn ngữ và Phương pháp dạy học
XH_043,(VP khoa) Khoa Sư phạm Khoa học Xã hội
XHXH,(khoa) SP Khoa học Xã hội
TTLT,(ngành) Lưu trữ học
TD_033,(Bộ môn) Toán kinh tế
TETN,(ngành) Tài chính - Ngân hàng
LC_063,(Bộ môn) Lý luận Mác - Lênin
TEKE,(ngành) Kế toán
XHVA,(ngành) SP Ngữ văn
QDKQ,(ngành) Kinh doanh quốc tế
TTTK,(ngành) Thư ký văn phòng
QGQG,(ngành) Quản lý Giáo dục
TEKI,(ngành) Kiểm toán
TD_037,(VP khoa) Khoa Toán - Ứng dụng
TD_035,(Bộ môn) Lý luận và phương pháp dạy học bộ môn Toán
TTKV,(ngành) Khoa học Thư viện
VDVI,(ngành) Việt Nam học (Văn hóa - Du lịch)
VDDL,(ngành) Du lịch
LCGD,(ngành) Giáo dục Chính trị
VDQT,(ngành) Quốc tế học
GT_055,(Bộ môn) Toán và Phương pháp dạy học
TE_115,(Bộ môn) Ngân hàng
DVDT,"(ngành) Kỹ thuật điện tử, truyền thông"
TN_028,(Bộ môn) Hóa học cơ bản
TE_091,(VP khoa) Khoa Tài chính - Kế toán
DV_052,(Bộ môn) Điện
TE_090,(Bộ môn) Tài chính
MO_081,(Bộ môn) Khoa học môi trường
NNSP,(ngành) SP Tiếng Pháp
TNKH,(ngành) SP Khoa học tự nhiên
TNLI,(ngành) SP Vật lý
TN_026,(Bộ môn) Vật lý
DV_050,(Bộ môn) Viễn thông
QG_066,(Bộ môn) Quản lý giáo dục
NN_072,(VP khoa) Khoa Ngoại ngữ
NN_069,(Bộ môn) Ngôn ngữ Anh
TT_079,(VP khoa) Khoa Thư viện - Văn phòng
MOKM,(ngành) Khoa học môi trường
DVDV,(ngành) Kỹ thuật điện tử - viễn thông
LCGC,(ngành) Giáo dục công dân
DV_053,(Bộ môn) Truyền số liệu và mạng máy tính
TNSI,(ngành) SP Sinh học
NT_075,(VP khoa) Khoa Nghệ Thuật
XH_042,(Bộ môn) Lịch sử Việt Nam
QD_084,(Bộ môn) Quản trị kinh doanh
GTGT,(ngành) Giáo dục Tiểu học
DVDE,(ngành) Kỹ thuật điện
GT_056,(Bộ môn) Văn - Tiếng Việt và Phương pháp dạy học
XH_038,(Bộ môn) Văn học và Lý luận văn học
TN_030,(VP khoa) Khoa Sư phạm Khoa học Tự nhiên
LC_064,(Bộ môn) Lịch sử Đảng Cộng sản Việt Nam & Tư tưởng Hồ Chí Minh
QGTG,Tâm lý - Giáo dục (môn chung)
DVDD,"(ngành) Kỹ thuật điện, điện tử"
XHSU,(ngành) SP Lịch sử
QD_083,(Bộ môn) Kinh doanh quốc tế
QDQK,(ngành) Quản trị kinh doanh
LCLC,Giáo dục Chính trị (môn chung)
NN_070,(Bộ môn) Sư phạm tiếng Anh
VD_088,(VP khoa) Khoa Văn hóa và Du lịch
